State,Owner,County,Parcel #,Acres,Section,Township,Range,Starting Bid
Arkansas,SHIRLEY E  BAILEY%WAYNE BAILEY,LONOKE,720-10805-000,0,18,4N,9W,19779.36
Arkansas,BRITTANY NICOLE  TAYLOR,LONOKE,722-10118-000,0,24,4N,10W,100
Arkansas,J B  ORR,HOT SPRING,700-03882-000,0,26,04S,17W,353.7
Arkansas,"A31  LAND TRUST, C/O ERIC HERM TR DATED APRIL 17,",HOT SPRING,609-60107-002,0,08,03S,16W,835.38
Arkansas,ACCENT  PROPERTY SOLUTIONS LLC,SALINE,840-15969-001,0.2,34,01S,14W,325.45
Arkansas,ORLANDO  JORDAN,SALINE,756-00108-000,0,05,01S,18W,150.05
Arkansas,ORLANDO  JORDAN,SALINE,756-00045-000,0,05,01S,18W,125.6
Arkansas,RODNEY J  HANSEN,SALINE,748-00054-000,0,11,01S,18W,220.79
Arkansas,CHARLES J  WALGENBACH,SALINE,704-00061-000,0,07,01S,18W,191.76
Arkansas,ROONEY & MILA  RAMOS,SALINE,692-00149-000,0,04,01S,18W,125.79
Arkansas,ROONEY & MILA  RAMOS,SALINE,692-00138-000,0,04,01S,18W,125.94
Arkansas,ALFRED G III & ELEANOR S  LASSITER,SALINE,692-00084-000,0,04,01S,18W,125.94
Arkansas,ROBERT L & JEWEL D  HICKS,SALINE,688-00163-000,0,05,01S,18W,125.94
Arkansas,JAMES M & DIXIE L  ROTH,SALINE,688-00089-000,0,05,01S,18W,140.62
Arkansas,ALVIN & ALICE  BLAND,SALINE,672-00205-000,0,04,01S,18W,133.28
Arkansas,RICHARD  MASCIA,SALINE,644-00219-000,0,07,01S,18W,184.25
Arkansas,RAYMOND  SCHEIFEN,SALINE,640-00211-000,0,07,01S,18W,125.94
Arkansas,RON & MELODY  PATTERSON,SALINE,640-00074-000,0,06,01S,18W,133.28
Arkansas,TULIO A  ARIAS,SALINE,632-00125-000,0,05,01S,18W,125.71
Arkansas,HAROLD  MCCAMBRIDGE,SALINE,632-00088-000,0,05,01S,18W,162.64
Arkansas,GILKY  HOLDINGS INC,SALINE,608-00090-000,0,09,01S,18W,154.32
